AG Algorithm Results Summary
----------------------------
Parameters: {'nInd': 50, 'maxIter': 100, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 189.0445, R2: -0.0279, Time: 15.87 seconds
Parameters: {'nInd': 50, 'maxIter': 100, 'mutation_rate': 0.01, 'elitism_rate': 0.15, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 191.2898, R2: -0.0524, Time: 15.73 seconds
Parameters: {'nInd': 50, 'maxIter': 100, 'mutation_rate': 0.05, 'elitism_rate': 0.15, 'tournament_size': 3, 'crossover_rate': 0.6}, RMSE: 190.5482, R2: -0.0443, Time: 15.96 seconds
Parameters: {'nInd': 50, 'maxIter': 100, 'mutation_rate': 0.1, 'elitism_rate': 0.15, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 220.7502, R2: -0.4016, Time: 18.39 seconds
Parameters: {'nInd': 50, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.1, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 193.7726, R2: -0.0799, Time: 23.33 seconds
Parameters: {'nInd': 50, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.1, 'tournament_size': 3, 'crossover_rate': 0.6}, RMSE: 246.3608, R2: -0.7456, Time: 25.10 seconds
Parameters: {'nInd': 50, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.1, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 220.6325, R2: -0.4001, Time: 36.72 seconds
Parameters: {'nInd': 50, 'maxIter': 60, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 188.0319, R2: -0.0169, Time: 9.64 seconds
Parameters: {'nInd': 50, 'maxIter': 60, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.6}, RMSE: 202.8656, R2: -0.1837, Time: 10.34 seconds
Parameters: {'nInd': 50, 'maxIter': 60, 'mutation_rate': 0.1, 'elitism_rate': 0.05, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 245.6536, R2: -0.7356, Time: 10.90 seconds
Parameters: {'nInd': 50, 'maxIter': 60, 'mutation_rate': 0.1, 'elitism_rate': 0.15, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 198.3846, R2: -0.1319, Time: 10.21 seconds
Parameters: {'nInd': 80, 'maxIter': 100, 'mutation_rate': 0.01, 'elitism_rate': 0.15, 'tournament_size': 3, 'crossover_rate': 0.6}, RMSE: 188.6269, R2: -0.0233, Time: 36.24 seconds
Parameters: {'nInd': 80, 'maxIter': 100, 'mutation_rate': 0.05, 'elitism_rate': 0.15, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 189.3553, R2: -0.0313, Time: 25.96 seconds
Parameters: {'nInd': 80, 'maxIter': 100, 'mutation_rate': 0.1, 'elitism_rate': 0.1, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 184.7080, R2: 0.0187, Time: 29.15 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.1, 'tournament_size': 3, 'crossover_rate': 0.6}, RMSE: 175.3986, R2: 0.1152, Time: 53.04 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.1, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 177.6809, R2: 0.0920, Time: 41.76 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.05, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 180.0830, R2: 0.0673, Time: 40.29 seconds
Parameters: {'nInd': 80, 'maxIter': 60, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.6}, RMSE: 193.2666, R2: -0.0743, Time: 15.55 seconds
Parameters: {'nInd': 80, 'maxIter': 60, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 398.9304, R2: -3.5773, Time: 23.81 seconds
Parameters: {'nInd': 80, 'maxIter': 60, 'mutation_rate': 0.05, 'elitism_rate': 0.15, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 245.0692, R2: -0.7274, Time: 21.93 seconds
